outlet,guid,link,title,collected_at_utc
NHK,https://news.web.nhk/newsweb/na/nd-20260823de45877,https://news.web.nhk/newsweb/na/nd-20260823de45877,東武鉄道4人死亡事故 事故当日3本の列車は問題なく通過か,2026-08-23T11:40:00Z
NHK,https://news.web.nhk/newsweb/na/nd-20260823de45798,https://news.web.nhk/newsweb/na/nd-20260823de45798,台風20号 沖縄 先島諸島で大雨 線状降水帯発生のおそれ,2026-08-23T11:40:00Z
NHK,https://news.web.nhk/newsweb/na/nd-20260823de45805,https://news.web.nhk/newsweb/na/nd-20260823de45805,広島や大分で39度超え 熊本も危険な暑さに 熱中症対策の徹底を,2026-08-23T11:40:00Z
NHK,https://news.web.nhk/newsweb/na/nd-20260823de45846,https://news.web.nhk/newsweb/na/nd-20260823de45846,北京で2回目の人型ロボット運動会 人類記録上回るなど性能向上,2026-08-23T11:40:00Z
NHK,https://news.web.nhk/newsweb/na/nd-20260823de45875,https://news.web.nhk/newsweb/na/nd-20260823de45875,「シベリア抑留」追悼式 元抑留者や遺族“実態解明を”,2026-08-23T11:40:00Z
NHK,https://news.web.nhk/newsweb/na/nd-20260823de45876,https://news.web.nhk/newsweb/na/nd-20260823de45876,報道写真家の石川文洋さん死去 ベトナム戦争など最前線で取材,2026-08-23T11:40:00Z
NHK,https://news.web.nhk/newsweb/na/nd-20260823de45833,https://news.web.nhk/newsweb/na/nd-20260823de45833,アメリカ建国250年記念し自動車レース トランプ氏が開催推進,2026-08-23T11:40:00Z
朝日新聞,http://www.asahi.com/articles/ASV8P3FG6V8PPTIL00TM.html?ref=rss,http://www.asahi.com/articles/ASV8P3FG6V8PPTIL00TM.html?ref=rss,ウクライナから避難の母親、大阪に交流拠点「文化を守り、伝えたい」,2026-08-23T11:40:00Z
朝日新聞,http://www.asahi.com/articles/ASV8R2R1XV8RUQIP00PM.html?ref=rss,http://www.asahi.com/articles/ASV8R2R1XV8RUQIP00PM.html?ref=rss,【写真特集】ベトナムで、沖縄で　石川文洋さんは生前何を写した,2026-08-23T11:40:00Z
朝日新聞,http://www.asahi.com/articles/ASV8R326QV8RPTIL009M.html?ref=rss,http://www.asahi.com/articles/ASV8R326QV8RPTIL009M.html?ref=rss,マンションに血だらけの男性、死亡　刃物で刺されたような傷　大阪,2026-08-23T11:40:00Z
朝日新聞,http://www.asahi.com/articles/ASV8Q3HJTV8QUTIL00HM.html?ref=rss,http://www.asahi.com/articles/ASV8Q3HJTV8QUTIL00HM.html?ref=rss,「東武建設」を業過致死容疑で家宅捜索　特急4人死亡事故で栃木県警,2026-08-23T11:40:00Z
