outlet,guid,link,title,collected_at_utc
NHK,https://news.web.nhk/newsweb/na/nd-20260830de47200,https://news.web.nhk/newsweb/na/nd-20260830de47200,福井県に大雨特別警報 福井市 大野市 勝山市の3市が対象,2026-08-29T21:49:00Z
NHK,https://news.web.nhk/newsweb/na/nd-20260830de47199,https://news.web.nhk/newsweb/na/nd-20260830de47199,福井市と大野市に緊急安全確保 命が助かる可能性の高い行動を,2026-08-29T21:49:00Z
NHK,https://news.web.nhk/newsweb/na/nd-20260830de47205,https://news.web.nhk/newsweb/na/nd-20260830de47205,気象庁と国交省が会見“身の安全確保を”福井県に大雨特別警報,2026-08-29T21:49:00Z
NHK,https://news.web.nhk/newsweb/na/nd-20260830de47218,https://news.web.nhk/newsweb/na/nd-20260830de47218,【動画】福井市大宮町の国道が冠水 茶色い水が激しく流れる,2026-08-29T21:49:00Z
NHK,https://news.web.nhk/newsweb/na/nd-20260830de47222,https://news.web.nhk/newsweb/na/nd-20260830de47222,福井 坂井 道路が冠水して車が立ち往生との情報,2026-08-29T21:49:00Z
NHK,https://news.web.nhk/newsweb/na/nd-20260830de47215,https://news.web.nhk/newsweb/na/nd-20260830de47215,福井市内を流れる荒川「氾濫発生情報」,2026-08-29T21:49:00Z
NHK,https://news.web.nhk/newsweb/na/nd-20260830de47211,https://news.web.nhk/newsweb/na/nd-20260830de47211,【河川カメラの映像】福井県 各地の河川状況,2026-08-29T21:49:00Z
朝日新聞,http://www.asahi.com/articles/ASV8Y6TW4V8YUEFT00GM.html?ref=rss,http://www.asahi.com/articles/ASV8Y6TW4V8YUEFT00GM.html?ref=rss,福井県にレベル5大雨特別警報 福井・大野・勝山の3市 気象庁,2026-08-29T21:49:00Z
朝日新聞,http://www.asahi.com/articles/ASV8Y4J02V8YUOHB00BM.html?ref=rss,http://www.asahi.com/articles/ASV8Y4J02V8YUOHB00BM.html?ref=rss,新潟県村上市の住宅で80代夫婦と長男の3人の遺体　侵入の形跡なし,2026-08-29T21:49:00Z
朝日新聞,http://www.asahi.com/articles/ASV8Y0HXTV8YUBUB003M.html?ref=rss,http://www.asahi.com/articles/ASV8Y0HXTV8YUBUB003M.html?ref=rss,全国の花火師が競う「大曲の花火」　尺玉や創造花火で観客を魅了,2026-08-29T21:49:00Z
朝日新聞,http://www.asahi.com/articles/ASV8Y1CKHV8YTLTB001M.html?ref=rss,http://www.asahi.com/articles/ASV8Y1CKHV8YTLTB001M.html?ref=rss,鹿児島の水難事故　行方不明の男子中高生3人を発見、死亡を確認,2026-08-29T21:49:00Z
朝日新聞,http://www.asahi.com/articles/ASV8Y1FGHV8YPQIP02ZM.html?ref=rss,http://www.asahi.com/articles/ASV8Y1FGHV8YPQIP02ZM.html?ref=rss,国際写真コンテスト「IPA」で朝日新聞記者が部門１位を受賞,2026-08-29T21:49:00Z
朝日新聞,http://www.asahi.com/articles/ASV8W0VGTV8WIIPE001M.html?ref=rss,http://www.asahi.com/articles/ASV8W0VGTV8WIIPE001M.html?ref=rss,クマ目撃で立ち往生→110番通報　トムラウシ山ヘリ救助が問うもの,2026-08-29T21:49:00Z
朝日新聞,http://www.asahi.com/articles/ASV8X0VSBV8XUTIL00MM.html?ref=rss,http://www.asahi.com/articles/ASV8X0VSBV8XUTIL00MM.html?ref=rss,山手線を百年支える「帝都の赤じゅうたん」　伝統と近代化、両立は？,2026-08-29T21:49:00Z
朝日新聞,http://www.asahi.com/articles/ASV8T0FW8V8TUTIL00ZM.html?ref=rss,http://www.asahi.com/articles/ASV8T0FW8V8TUTIL00ZM.html?ref=rss,なぜ天皇陛下は語り続けるのか　過去の歴史と反省、増す活動の重み,2026-08-29T21:49:00Z
