outlet,guid,link,title,collected_at_utc
NHK,https://news.web.nhk/newsweb/na/nd-20260911de49824,https://news.web.nhk/newsweb/na/nd-20260911de49824,中部電力 報告書提出受け14日に会見 経営トップ進退判断へ,2026-09-12T00:22:00Z
NHK,https://news.web.nhk/newsweb/na/nd-20260912de49849,https://news.web.nhk/newsweb/na/nd-20260912de49849,サウジアラビアの東西パイプライン 攻撃受け一時操業停止,2026-09-12T00:22:00Z
NHK,https://news.web.nhk/newsweb/na/nd-20260912de49833,https://news.web.nhk/newsweb/na/nd-20260912de49833,消費税減税で大綱来週決定へ 国会審議備え担当閣僚新設も検討,2026-09-12T00:22:00Z
NHK,https://news.web.nhk/newsweb/na/nd-20260912de49847,https://news.web.nhk/newsweb/na/nd-20260912de49847,スイスで観光客を乗せたバスが横転 5人死亡,2026-09-12T00:22:00Z
NHK,https://news.web.nhk/newsweb/na/nd-20260912de49840,https://news.web.nhk/newsweb/na/nd-20260912de49840,イオンモール熊本 すべてのテナントに一時的な契約解除を打診,2026-09-12T00:22:00Z
NHK,https://news.web.nhk/newsweb/na/nd-20260912de49848,https://news.web.nhk/newsweb/na/nd-20260912de49848,世界の海面水温の平均 日ごとの過去最高を100日連続で更新,2026-09-12T00:22:00Z
NHK,https://news.web.nhk/newsweb/na/nd-20260912de49845,https://news.web.nhk/newsweb/na/nd-20260912de49845,IEA ことしの石油供給見通し下方修正 中東から供給回復来年に,2026-09-12T00:22:00Z
朝日新聞,http://www.asahi.com/articles/ASV994JJ7V99UPQJ003M.html?ref=rss,http://www.asahi.com/articles/ASV994JJ7V99UPQJ003M.html?ref=rss,「チッソは、私だった」　水俣病の闘士が父の敵に自らを重ねた理由,2026-09-12T00:22:00Z
朝日新聞,http://www.asahi.com/articles/ASV9C3H6VV9COXIE030M.html?ref=rss,http://www.asahi.com/articles/ASV9C3H6VV9COXIE030M.html?ref=rss,日本郵便元主任に懲役3年など求刑　ディズニーや時計見返りに便宜か,2026-09-12T00:22:00Z
朝日新聞,http://www.asahi.com/articles/ASV9C2QXDV9CUTIL006M.html?ref=rss,http://www.asahi.com/articles/ASV9C2QXDV9CUTIL006M.html?ref=rss,「2万～3万円のバイト」大学生誘い、携帯の不正契約容疑　男ら逮捕,2026-09-12T00:22:00Z
朝日新聞,http://www.asahi.com/articles/ASV972GMKV97OXIE03GM.html?ref=rss,http://www.asahi.com/articles/ASV972GMKV97OXIE03GM.html?ref=rss,隠し続けた2度の出産　引っ越し重ねても手放さなかった2人の遺体,2026-09-12T00:22:00Z
朝日新聞,http://www.asahi.com/articles/ASV9B4VWGV9BULOB00MM.html?ref=rss,http://www.asahi.com/articles/ASV9B4VWGV9BULOB00MM.html?ref=rss,重り支えるアームの一部、事故前に削られたか　川崎クレーン4人死亡,2026-09-12T00:22:00Z
朝日新聞,http://www.asahi.com/articles/ASV9C52NGV9COIPE00RM.html?ref=rss,http://www.asahi.com/articles/ASV9C52NGV9COIPE00RM.html?ref=rss,岐阜のケーキ店火災、治療中だった店経営の女性死亡　死者4人に,2026-09-12T00:22:00Z
朝日新聞,http://www.asahi.com/articles/ASV9C3J1PV9CPTIL009M.html?ref=rss,http://www.asahi.com/articles/ASV9C3J1PV9CPTIL009M.html?ref=rss,住宅で女性殴ってかばんを奪った疑い　逃走した容疑者逮捕　大阪府警,2026-09-12T00:22:00Z
朝日新聞,http://www.asahi.com/articles/ASV9C4DKCV9CPUUB00CM.html?ref=rss,http://www.asahi.com/articles/ASV9C4DKCV9CPUUB00CM.html?ref=rss,鳥取の海岸に男性の遺体　海水浴で行方不明になった高校生の可能性も,2026-09-12T00:22:00Z
朝日新聞,http://www.asahi.com/articles/ASV9C3H21V9CPPZB00HM.html?ref=rss,http://www.asahi.com/articles/ASV9C3H21V9CPPZB00HM.html?ref=rss,コピーした事件記録の盗撮画像を自宅で所持、検察事務官を略式起訴,2026-09-12T00:22:00Z
