outlet,guid,link,title,collected_at_utc
NHK,https://news.web.nhk/newsweb/na/nd-20260909de49198,https://news.web.nhk/newsweb/na/nd-20260909de49198,大雨続く見込み 各地で線状降水帯発生のおそれ,2026-09-08T21:56:00Z
NHK,https://news.web.nhk/newsweb/na/nd-20260908de49034,https://news.web.nhk/newsweb/na/nd-20260908de49034,【動画】名古屋 大雨で道路冠水や地下鉄駅の浸水 被害状況は,2026-09-08T21:56:00Z
NHK,https://news.web.nhk/newsweb/na/nd-20260909de49187,https://news.web.nhk/newsweb/na/nd-20260909de49187,自民党役員人事と内閣改造 政権骨格維持 維新ポスト調整も,2026-09-08T21:56:00Z
NHK,https://news.web.nhk/newsweb/na/nd-20260908de49169,https://news.web.nhk/newsweb/na/nd-20260908de49169,アメリカ 共和党が初めて中間選挙前に党大会開催へ 焦点は,2026-09-08T21:56:00Z
NHK,https://news.web.nhk/newsweb/na/nd-20260909de49205,https://news.web.nhk/newsweb/na/nd-20260909de49205,大手金融グループ 個人向けサービス強化で預金獲得目指す,2026-09-08T21:56:00Z
NHK,https://news.web.nhk/newsweb/na/nd-20260909de49200,https://news.web.nhk/newsweb/na/nd-20260909de49200,米ロ首脳電話会談 米大統領 ウクライナでの戦闘早期終結に意欲,2026-09-08T21:56:00Z
NHK,https://news.web.nhk/newsweb/na/nd-20260909de49197,https://news.web.nhk/newsweb/na/nd-20260909de49197,韓国の美容医療アプリ 日本ユーザー約4万8000人の個人情報流出,2026-09-08T21:56:00Z
朝日新聞,http://www.asahi.com/articles/ASV98756PV98UTIL001M.html?ref=rss,http://www.asahi.com/articles/ASV98756PV98UTIL001M.html?ref=rss,近畿・四国・東海で線状降水帯の恐れ　秋雨前線、9日も日本付近に,2026-09-08T21:56:00Z
朝日新聞,http://www.asahi.com/articles/ASV94119SV94UTIL01YM.html?ref=rss,http://www.asahi.com/articles/ASV94119SV94UTIL01YM.html?ref=rss,線路の事故、設置進む自動警報装置　カギは「ソフト面充実も一緒に」,2026-09-08T21:56:00Z
朝日新聞,http://www.asahi.com/articles/ASV97471BV97PTIL00GM.html?ref=rss,http://www.asahi.com/articles/ASV97471BV97PTIL00GM.html?ref=rss,万博工事であらわになった関係　竹中工務店元所長の背任容疑の内幕,2026-09-08T21:56:00Z
朝日新聞,http://www.asahi.com/articles/ASV8X1SZTV8XPTIL001M.html?ref=rss,http://www.asahi.com/articles/ASV8X1SZTV8XPTIL001M.html?ref=rss,「お前を一生恨む」米軍基地の勤務でパワハラ認定　賠償求めて裁判も,2026-09-08T21:56:00Z
朝日新聞,http://www.asahi.com/articles/ASV8X1PS3V8XPTIL002M.html?ref=rss,http://www.asahi.com/articles/ASV8X1PS3V8XPTIL002M.html?ref=rss,米軍基地の勤務でパワハラ、労災認定　労基署「人格否定する発言」,2026-09-08T21:56:00Z
朝日新聞,http://www.asahi.com/articles/ASV981D3CV98UTIL018M.html?ref=rss,http://www.asahi.com/articles/ASV981D3CV98UTIL018M.html?ref=rss,黄土色のコートの男は誰か　上智大生殺害30年、残されたA型の血液,2026-09-08T21:56:00Z
朝日新聞,http://www.asahi.com/articles/ASV981HTRV98UTIL001M.html?ref=rss,http://www.asahi.com/articles/ASV981HTRV98UTIL001M.html?ref=rss,留学2日前に夢を絶たれた娘　夫婦で供え続ける食事は2万回を超えた,2026-09-08T21:56:00Z
朝日新聞,http://www.asahi.com/articles/ASV981W29V98UTIL00NM.html?ref=rss,http://www.asahi.com/articles/ASV981W29V98UTIL00NM.html?ref=rss,教え子の死が問いかける「今を生きる意味」　事件をのみ込めないまま,2026-09-08T21:56:00Z
朝日新聞,http://www.asahi.com/articles/ASV983K05V98UTIL01XM.html?ref=rss,http://www.asahi.com/articles/ASV983K05V98UTIL01XM.html?ref=rss,警視庁警察学校にカフェテリア、女性用シャワーも倍増　採用強化で,2026-09-08T21:56:00Z
朝日新聞,http://www.asahi.com/articles/ASV983HRKV98OIPE00WM.html?ref=rss,http://www.asahi.com/articles/ASV983HRKV98OIPE00WM.html?ref=rss,1億5千万円詐取容疑、投資会社代表を逮捕　「未上場企業に出資」,2026-09-08T21:56:00Z
朝日新聞,http://www.asahi.com/articles/ASV983HS4V98PTIL010M.html?ref=rss,http://www.asahi.com/articles/ASV983HS4V98PTIL010M.html?ref=rss,88歳、太平洋横断へ　衰えぬ冒険心「筋力不要、普通にゴロゴロ」,2026-09-08T21:56:00Z
朝日新聞,http://www.asahi.com/articles/ASV982BVFV98UTQP01DM.html?ref=rss,http://www.asahi.com/articles/ASV982BVFV98UTQP01DM.html?ref=rss,大谷翔平、今季は投手断念へ　ポストシーズンも打者に専念する見通し,2026-09-08T21:56:00Z
朝日新聞,http://www.asahi.com/articles/ASV971QDKV97PTIL00ZM.html?ref=rss,http://www.asahi.com/articles/ASV971QDKV97PTIL00ZM.html?ref=rss,堀江謙一さん、88歳で「太平洋ひとりぼっち」挑戦へ　ヨットで来春,2026-09-08T21:56:00Z
朝日新聞,http://www.asahi.com/articles/ASV943RKQV94OIPE00PM.html?ref=rss,http://www.asahi.com/articles/ASV943RKQV94OIPE00PM.html?ref=rss,アジア大会選手、中部空港で入国始まる　陸上トラックのお出迎えも,2026-09-08T21:56:00Z
朝日新聞,http://www.asahi.com/articles/ASV931JSTV93UTQP01VM.html?ref=rss,http://www.asahi.com/articles/ASV931JSTV93UTQP01VM.html?ref=rss,吉井理人が考える令和のコーチ論　佐々木朗希の「ある変化」で痛感,2026-09-08T21:56:00Z
朝日新聞,http://www.asahi.com/articles/ASV984467V98ULFA020M.html?ref=rss,http://www.asahi.com/articles/ASV984467V98ULFA020M.html?ref=rss,農家や外食業界の支援を明記　財源は後回し　消費減税の大綱案が判明,2026-09-08T21:56:00Z
朝日新聞,http://www.asahi.com/articles/ASV983JM6V98ULFA011M.html?ref=rss,http://www.asahi.com/articles/ASV983JM6V98ULFA011M.html?ref=rss,1週間で7円超の円高「恐怖感で買い戻し」一時1ドル152円台に,2026-09-08T21:56:00Z
朝日新聞,http://www.asahi.com/articles/ASV9832YSV98ULFA00CM.html?ref=rss,http://www.asahi.com/articles/ASV9832YSV98ULFA00CM.html?ref=rss,消費税率を戻す29年4月に「半年分」の現金給付　大綱原案,2026-09-08T21:56:00Z
朝日新聞,http://www.asahi.com/articles/ASV982VCBV98PLFA004M.html?ref=rss,http://www.asahi.com/articles/ASV982VCBV98PLFA004M.html?ref=rss,「不適切」指摘の北陸新幹線B/C　国交相、算出経緯の説明避ける,2026-09-08T21:56:00Z
朝日新聞,http://www.asahi.com/articles/ASV973FHQV97ULFA01BM.html?ref=rss,http://www.asahi.com/articles/ASV973FHQV97ULFA01BM.html?ref=rss,7月の実質賃金、前年比2.4%増  7カ月連続プラス、約5年ぶり,2026-09-08T21:56:00Z
朝日新聞,http://www.asahi.com/articles/ASV983PWMV98UTFK00GM.html?ref=rss,http://www.asahi.com/articles/ASV983PWMV98UTFK00GM.html?ref=rss,裏金問題に関与した議員の閣僚起用は？これまでの入閣はゼロ,2026-09-08T21:56:00Z
朝日新聞,http://www.asahi.com/articles/ASV983VSJV98ULFA00NM.html?ref=rss,http://www.asahi.com/articles/ASV983VSJV98ULFA00NM.html?ref=rss,「所得連動給付」の財政負担、国と地方でなお隔たり　協議継続へ,2026-09-08T21:56:00Z
朝日新聞,http://www.asahi.com/articles/ASV983T0TV98UTFK00KM.html?ref=rss,http://www.asahi.com/articles/ASV983T0TV98UTFK00KM.html?ref=rss,事実上解体の中道　立憲系は新党、公明系は公明へ　衆院で統一会派,2026-09-08T21:56:00Z
朝日新聞,http://www.asahi.com/articles/ASV983DYVV98UTFK00HM.html?ref=rss,http://www.asahi.com/articles/ASV983DYVV98UTFK00HM.html?ref=rss,小泉防衛相、有事の際の自衛隊員の治療など厚労相に協力要請,2026-09-08T21:56:00Z
朝日新聞,http://www.asahi.com/articles/ASV982TYXV98UTFK00NM.html?ref=rss,http://www.asahi.com/articles/ASV982TYXV98UTFK00NM.html?ref=rss,自民・小林政調会長、続投へ　消費減税など党内議論まとめた手腕評価,2026-09-08T21:56:00Z
朝日新聞,http://www.asahi.com/articles/ASV9867FTV98UHBI021M.html?ref=rss,http://www.asahi.com/articles/ASV9867FTV98UHBI021M.html?ref=rss,イラン「米軍の無人潜水艇を拿捕」と発表　ホルムズ海峡の緊張続く,2026-09-08T21:56:00Z
朝日新聞,http://www.asahi.com/articles/ASV9862PJV98UHBI01RM.html?ref=rss,http://www.asahi.com/articles/ASV9862PJV98UHBI01RM.html?ref=rss,フーシ、サウジ石油施設に大規模攻撃　73人負傷、操業も一部停止,2026-09-08T21:56:00Z
朝日新聞,http://www.asahi.com/articles/ASV986DWGV98UHBI01ZM.html?ref=rss,http://www.asahi.com/articles/ASV986DWGV98UHBI01ZM.html?ref=rss,キーウの民放にロシア軍が攻撃　「放送中の報道局標的」　6人負傷,2026-09-08T21:56:00Z
朝日新聞,http://www.asahi.com/articles/ASV9825NDV98UHBI003M.html?ref=rss,http://www.asahi.com/articles/ASV9825NDV98UHBI003M.html?ref=rss,レバノン南部、3日間で27人死亡　イスラエルが要衝制圧、再び緊迫,2026-09-08T21:56:00Z
朝日新聞,http://www.asahi.com/articles/ASV9833Q7V98UHBI00LM.html?ref=rss,http://www.asahi.com/articles/ASV9833Q7V98UHBI00LM.html?ref=rss,戦争犯罪で確定判決の元司令官、セルビアでは英雄　葬儀に閣僚ら参列,2026-09-08T21:56:00Z
朝日新聞,http://www.asahi.com/articles/ASV98419TV98UCVL00XM.html?ref=rss,http://www.asahi.com/articles/ASV98419TV98UCVL00XM.html?ref=rss,純烈の弟分・モナキがANN0のパーソナリティーに就任「夢みたい」,2026-09-08T21:56:00Z
朝日新聞,http://www.asahi.com/articles/ASV983J60V98UCVL04RM.html?ref=rss,http://www.asahi.com/articles/ASV983J60V98UCVL04RM.html?ref=rss,「無名塾」が来年2月末で解散 仲代達矢さん死去から10カ月で声明,2026-09-08T21:56:00Z
朝日新聞,http://www.asahi.com/articles/ASV972CCFV97UCVL01QM.html?ref=rss,http://www.asahi.com/articles/ASV972CCFV97UCVL01QM.html?ref=rss,【詳報】名人、AI超えの妙手　挑戦者も粘り腰で食らいつき形勢互角,2026-09-08T21:56:00Z
朝日新聞,http://www.asahi.com/articles/ASV981VP7V98UTIL00LM.html?ref=rss,http://www.asahi.com/articles/ASV981VP7V98UTIL00LM.html?ref=rss,暴行事件で「デヴィ夫人」に罰金20万円求刑　弁護側「事情あった」,2026-09-08T21:56:00Z
朝日新聞,http://www.asahi.com/articles/ASV9841Y4V98UTIL02QM.html?ref=rss,http://www.asahi.com/articles/ASV9841Y4V98UTIL02QM.html?ref=rss,相次ぐ豪雨の背景は？　大気中の水蒸気増加、過去と同じ気圧配置でも,2026-09-08T21:56:00Z
朝日新聞,http://www.asahi.com/articles/ASV97771PV97UTIL002M.html?ref=rss,http://www.asahi.com/articles/ASV97771PV97UTIL002M.html?ref=rss,「日本の読解力、AI活用法がかぎ」　PISA調査　教育学者の分析,2026-09-08T21:56:00Z
朝日新聞,http://www.asahi.com/articles/ASV980J1WV98UTIL00CM.html?ref=rss,http://www.asahi.com/articles/ASV980J1WV98UTIL00CM.html?ref=rss,PISAの数学　男女の得点差が拡大　下位層に「学び直し」も必要,2026-09-08T21:56:00Z
朝日新聞,http://www.asahi.com/articles/ASV981GJBV98UCVL01PM.html?ref=rss,http://www.asahi.com/articles/ASV981GJBV98UCVL01PM.html?ref=rss,グレート義太夫さん死去、67歳　「たけし軍団」のタレント,2026-09-08T21:56:00Z
朝日新聞,http://www.asahi.com/articles/ASV972TRLV97UTFK00KM.html?ref=rss,http://www.asahi.com/articles/ASV972TRLV97UTFK00KM.html?ref=rss,毎日新聞元専門編集委員、与良正男さん死去,2026-09-08T21:56:00Z
